Crawling: https://www.aggrowth.com/?gclid=Cj0KCQiA_P6dBhD1ARIsAAGI7HCarboedENje6b0_DrGTbvqQba3ZLMy1NSBZUe3uCE_r0_xXqVqta4aAjG1EALw_wcB&gclsrc=aw.ds
1,1,158
102,101,615
203,101,980
304,101,1108
405,101,1016
506,101,934
607,101,985
708,101,885
809,101,846
910,101,768
1011,101,672
1112,101,575
1213,101,557
1314,101,503
1415,101,526
1516,101,818
1617,101,717
1718,101,616
1819,101,515
1920,101,414
2021,101,458
2122,101,394
2223,101,546
2324,101,452
2425,101,351
2526,101,334
2627,101,343
2728,101,327
2829,101,246
2930,101,415
3031,101,333
3132,101,250
3233,101,175
3334,101,227
3435,101,140
3536,101,100
3636,100,82
3718,82,95
3813,95,5
3818,5,9
3827,9,0
